S.NO,QUESTIONS,ANSWERS,LINKS
1,I am an Anytime Smart Pass customer. How do I use my free delivery voucher?,"As soon as you’re able to book a slot, we’ll send you an email or SMS with a unique  voucher code. Once you’ve booked a delivery slot and added to your trolley with a minimum £90 spend, you’ll be able to enter the voucher code as you check out to get free delivery. Please note that this is a voucher for only one free delivery and for Anytime Smart Pass customers only.",https://help.ocado.com/hc/en-us/articles/10210709972636-I-am-an-Anytime-Smart-Pass-customer-How-do-I-use-my-free-delivery-voucher-
2,What are Everyday Savers?,"Our range of Everyday Savers gives our customers low prices on most-loved everyday staples. The best bit? We don't just include any products, they’re Ocado customers’ most-bought items. So, you’ll always get the groceries you like at prices you’ll love.",https://help.ocado.com/hc/en-us/articles/7994839691548-What-are-Everyday-Savers-
3,How do I tell if a product is an Everyday Saver?,"Our range of Everyday Savers gives our customers low prices on most-loved everyday staples. The best bit? We don't just include any products, they’re Ocado customers’ most-bought items. So, you’ll always get the groceries you like at prices you’ll love.",https://help.ocado.com/hc/en-us/articles/7994804717596-How-do-I-tell-if-a-product-is-an-Everyday-Saver-
4,"I had early access to slots last year, why have I not been given them this year?","Smart Pass customers are given priority access to Christmas slots. Once these have been given, non-Smart Pass customers will be able to book as part of the general slot release. You’ll see a star for Christmas slots next to ‘Book a delivery’ in your account as soon as they’re available (which you must be logged in to see).",https://help.ocado.com/hc/en-us/articles/10210714614812-I-had-early-access-to-slots-last-year-why-have-I-not-been-given-them-this-year-
5,How long will products stay part of the Everyday Savers range?,"Products will be on the list for different periods of time. Just like our tastes change from hearty winter stews to summer strawberries, we regularly review our Everyday Savers so that we can keep delivering low prices on what matters to our customers.",https://help.ocado.com/hc/en-us/articles/7994787035932-How-long-will-products-stay-part-of-the-Everyday-Savers-range-
6,What are your opening times between Christmas and New Year?,[IMAGE],https://help.ocado.com/hc/en-us/articles/10210687374492-What-are-your-opening-times-between-Christmas-and-New-Year-
7,Why have only some products been included in Everyday Savers?,"With 'everyday' in mind, we wanted to included all the basics you’d expect and more, so you can enjoy great value every time you shop.",https://help.ocado.com/hc/en-us/articles/7994801909020-Why-have-only-some-products-been-included-in-Everyday-Savers-
8,What is the cut-off time for my order?,"During Christmas week (20th–24th December), the cut-off time will be at 11:30pm two days before your delivery. You’ll receive the usual email or SMS closer to your delivery date to let you know what the exact cut-off date and time will be. Until then, you can edit your order as many times as you like, though we do encourage you to only add items you intend to keep. Just remember to check out each time, to make sure your changes are saved.",https://help.ocado.com/hc/en-us/articles/10210672668316-What-is-the-cut-off-time-for-my-order-
9,"I am a Smart Pass customer, will I get access to early slot releases this year?","As part of their membership, Smart Pass customers who signed up on or before 1st September 2023 will get early access to Christmas slots before general release. These slots get booked up really quickly, so we can’t guarantee everyone will get one. We recommend you book your slot as soon as you’re notified that slots are available for booking.",https://help.ocado.com/hc/en-us/articles/10210642366236-I-am-a-Smart-Pass-customer-will-I-get-access-to-early-slot-releases-this-year-
10,"I am a Reserved customer, will my Christmas order be automatically booked?","To help us manage demand, we have paused Ocado Reserved between 20th–27th December and 12pm 31st December – 1st January. If you normally have an Ocado Reserved slot, it won’t be booked during the Christmas period – so you’ll need to book it yourself.  We’ll let you know via email or SMS as soon as you're able to book a slot. These get filled up fast, so we recommend booking your slot as soon as possible. Once you’re able to book a slot, you'll also see a star next to ‘Book a Delivery' (which you must be logged in to see).",https://help.ocado.com/hc/en-us/articles/10210628521116-I-am-a-Reserved-customer-will-my-Christmas-order-be-automatically-booked-
